Ticker,Nama,Sektor,Industri,Periode,Basis,MataUang,Diperbarui,Saham,EPS,BVPS,DPS,Omzet,LabaBersih,EBITDA,EBIT,MarginKotor%,MarginOperasi%,MarginBersih%,ROE%,ROA%,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,DER,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,OCF,Capex,FCF,OCF/Laba,Payout%,OmzetYoY%,LabaYoY%,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%
SRTG,Saratoga Investama Sedaya Tb,Financial Services,Asset Management,2026-03-31,TTM-gabungan,IDR,2026-09-02,13549832900.0,1381.2847,4739.8147,103.3,20692605000000.0,18716177000000.0,20455765000000.0,20451022000000.0,99.35,98.85,90.45,32.28,29.59,795960000000.0,870895000000.0,484105000000.0,68674133000000.0,64223697000000.0,0.01,0.02,29.78,29.78,149.59,1604910000000.0,-10081000000.0,1601187000000.0,0.09,42.16,609.9,376.0,3.4,16.6,2.0,0.04
MDIY,Daya Intiguna Yasa Tbk.,Consumer Cyclical,Department Stores,2026-06-30,TTM-gabungan,IDR,2026-09-02,25190392000.0,47.3691,171.2432,35.24,8835580000000.0,1193245000000.0,2797246000000.0,1741659000000.0,53.11,19.55,13.5,31.4,16.22,2291644000000.0,911480000000.0,390305000000.0,8288984000000.0,4313683000000.0,0.53,0.14,1.3,0.5,9.91,2193073000000.0,-697989000000.0,1495084000000.0,1.84,37.2,26.4,26.0,52.9,121.3,3.0,0.0
BTPN,Bank SMBC Indonesia Tbk.,Financial Services,Banks - Regional,2026-03-31,TTM,IDR,2026-09-02,10645945748.0,42.426,4497.237,9.5,18119559000000.0,451665000000.0,,,,,2.49,0.94,0.18,52593249000000.0,18510153000000.0,33678939000000.0,250018949000000.0,47877341000000.0,1.1,,,,,4661527000000.0,-648420000000.0,4013107000000.0,10.32,125.82,-1.6,-10.6,11.5,-45.3,1.0,0.0
LIFE,MSIG Life Insurance Indonesi,Financial Services,Insurance - Life,2026-06-30,TTM-gabungan,IDR,2026-09-02,2100000000.0,136.8776,3901.4671,96.0,3122772000000.0,287443000000.0,,,,,9.2,3.62,1.93,11136000000.0,787277000000.0,-776141000000.0,15107253000000.0,8193081000000.0,0.0,,,,,266089000000.0,-38199000000.0,227890000000.0,0.93,72.18,16.1,2103.2,-4.0,-17.5,1.0,0.0
PNBN,Bank Pan Indonesia Tbk,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,24071873098.0,113.5376,2215.4727,42.0,10427477000000.0,2733063000000.0,,,,,26.21,5.13,1.19,12674296000000.0,11213247000000.0,1461049000000.0,229285529000000.0,53330578000000.0,0.24,,,,,9633965000000.0,-548894000000.0,9085071000000.0,3.52,73.98,3.5,-9.1,-2.2,-3.3,2.0,-0.04
AVIA,Avia Avian Tbk.,Basic Materials,Specialty Chemicals,2026-03-31,TTM-gabungan,IDR,2026-09-02,59125458700.0,30.5037,167.6481,23.0,8462968000000.0,1803546000000.0,2490850000000.0,2252016000000.0,43.87,23.57,21.31,18.46,15.91,23180000000.0,2214410000000.0,-2191230000000.0,11612427000000.0,9912270000000.0,0.0,-0.88,5.15,4.09,940.69,2011082000000.0,-501803000000.0,1509279000000.0,1.12,71.63,14.1,-0.2,6.7,7.7,3.0,-2.74
NSSS,Nusantara Sawit Sejahtera Tb,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,23801568645.0,28.0707,95.5648,10.0,2117578745631.0,668126188017.0,942364113055.0,937177530835.0,51.16,45.25,31.55,35.16,16.53,1596153000000.0,402311000000.0,1181166000000.0,4297847000000.0,2274593000000.0,0.7,1.25,1.65,1.09,6.74,814375966883.0,-135417000000.0,659103936701.0,1.22,28.5,11.9,18.9,21.1,109.7,2.0,0.0
MKPI,Metropolitan Kentjana Tbk,Real Estate,Real Estate Services,2026-03-31,TTM-gabungan,IDR,2026-09-02,948194000.0,1229.8966,8496.1665,950.0,2641773789307.0,1166180585410.0,1204099792132.0,1202395044120.0,54.43,37.68,44.14,15.16,12.4,2195456847.0,3175760511173.0,-3173565054326.0,9872185873877.0,8056014062870.0,0.0,-2.64,2.51,2.5,19424.8,1627078993691.0,-305609963768.0,1321469029923.0,1.4,59.19,-0.8,-2.0,10.1,17.0,3.0,0.0
MGLV,NexAI Digital Infrastruktur ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",,Tahunan,IDR,2026-09-02,1904883411.0,-4.7349,66.7743,,127866478461.0,-9019490202.0,-1748982655.0,-5806928268.0,36.79,-5.65,-7.05,-6.85,-3.96,16361068.0,3156869509.0,-3140508441.0,187913019699.0,127197337830.0,0.0,,3.6,0.8,-2.26,-32858488716.0,-93775600.0,-32952264316.0,3.64,0.0,,,-8.4,,1.0,0.0
MAPA,Map Aktif Adiperkasa Tbk.,Consumer Cyclical,Specialty Retail,2026-06-30,TTM-gabungan,IDR,2026-09-02,28504000000.0,67.4593,335.6901,4.0,20608043000000.0,1922861000000.0,4219530000000.0,2665917000000.0,47.22,13.35,9.33,22.69,13.3,2546173000000.0,1160435000000.0,1385738000000.0,15743440000000.0,9568511000000.0,0.27,0.33,2.12,0.65,18.36,3000372000000.0,-995431000000.0,2004941000000.0,1.56,11.76,19.6,15.8,25.3,13.5,2.0,0.0
SMAR,Sinar Mas Agro Resources and,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,2872193366.0,1428.7464,8397.6292,270.0,87410098000000.0,4103636000000.0,6308125000000.0,6062281000000.0,14.62,6.42,4.69,18.58,8.49,17900241000000.0,1586141000000.0,16297748000000.0,50398674000000.0,24119615000000.0,0.74,2.58,1.59,0.76,6.7,6610969000000.0,-3558045000000.0,3052924000000.0,1.61,18.89,8.7,1028.3,5.0,-22.3,2.0,0.0
PACK,Abadi Nusantara Hijau Invest,Consumer Cyclical,Packaging & Containers,,Tahunan,IDR,2026-09-02,1597398988.0,17.8908,65.9603,,216588323439.0,28578766364.0,32364994940.0,32239746019.0,2.04,0.64,13.19,35.06,1.86,1150019744.0,65361870398.0,-64211850654.0,2999626692839.0,105364902399.0,0.01,-1.98,0.05,0.05,534.64,-22471937167.0,-2349256786.0,-24821193953.0,-0.79,0.0,,,69.9,140.6,2.0,3.52
MSIN,MNC Digital Entertainment Tb,Communication Services,Entertainment,2026-06-30,TTM-gabungan,IDR,2026-09-02,60676178205.0,15.7912,112.7774,,4043989000000.0,958151000000.0,1251846000000.0,1028561000000.0,25.88,15.09,23.69,14.18,11.76,259041000000.0,795098000000.0,-536057000000.0,8598549000000.0,6842901000000.0,0.04,-0.43,2.97,2.24,101.42,605960000000.0,-944596000000.0,-338636000000.0,0.63,0.0,3.7,13.8,2.9,42.1,2.0,0.0
BBHI,Allo Bank Indonesia Tbk.,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,21617303942.0,26.8703,339.5553,13.28,2165111892608.0,580863997602.0,,,,,26.83,7.89,4.03,9477378730.0,2402544008636.0,-2393066629906.0,15571418074955.0,7340269094743.0,0.0,,,,,-374195902090.0,-29227883682.0,-403423785772.0,-0.64,48.91,38.3,15.2,37.3,28.6,3.0,-0.51
ADES,Akasha Wira International Tb,Consumer Defensive,Beverages - Non-Alcoholic,2026-06-30,TTM-gabungan,IDR,2026-09-02,589896800.0,1619.4816,5985.6724,,3567807000000.0,955327000000.0,1218316000000.0,1208047000000.0,51.41,30.96,26.78,32.19,26.37,7000000.0,950446000000.0,-950439000000.0,4352224000000.0,3530929000000.0,0.0,-0.78,3.38,2.69,604023.5,622149000000.0,-444759000000.0,177390000000.0,0.65,0.0,90.7,87.9,28.3,26.7,3.0,0.0
SUPA,Super Bank Indonesia Tbk.,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,33897017650.0,7.7229,243.5428,,1952353000000.0,261784000000.0,,,,,13.41,3.88,1.36,28966000000.0,1821559000000.0,-1792593000000.0,27005584000000.0,8255373000000.0,0.0,,,,,4335313000000.0,-271271000000.0,4064042000000.0,16.56,0.0,,,118.6,,2.0,0.0
DSNG,Dharma Satya Nusantara Tbk.,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,10599842400.0,181.7199,1130.5908,47.0,12524098000000.0,1926202000000.0,3009241000000.0,2930428000000.0,30.74,22.7,15.38,17.45,10.87,3434109000000.0,676925000000.0,2734139000000.0,17814315000000.0,11984084000000.0,0.29,0.91,1.34,0.67,8.78,2589835000000.0,-1842811000000.0,747024000000.0,1.34,25.86,27.1,55.1,8.5,15.1,2.0,0.0
BBSI,Krom Bank Indonesia Tbk.,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,3674723301.0,61.4822,970.2424,,2793710474562.0,225929894819.0,,,,,8.09,6.53,1.86,6870605988.0,1346075704763.0,-1339205098775.0,15942960738956.0,3565372235443.0,0.0,,,,,1118228571584.0,-31764130470.0,1086464441114.0,4.95,0.0,306.1,242.4,135.9,24.2,2.0,0.0
AUTO,Astra Otoparts Tbk,Consumer Cyclical,Auto Parts,2026-06-30,TTM-gabungan,IDR,2026-09-02,4819733000.0,501.5815,3317.761,229.0,21176143000000.0,2417489000000.0,3082629000000.0,2897524000000.0,16.64,6.25,11.42,15.66,10.53,590363000000.0,4296374000000.0,-3706011000000.0,23881905000000.0,15990722000000.0,0.04,-1.2,2.03,1.5,87.77,1612079000000.0,-564257000000.0,1047822000000.0,0.67,45.71,14.3,17.2,2.3,18.5,3.0,0.0
AALI,Astra Agro Lestari Tbk.,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,1924688333.0,970.7972,12468.559,458.0,29466906000000.0,1868482000000.0,2965405000000.0,2798650000000.0,16.67,10.61,6.34,7.97,6.38,0.0,5149236000000.0,-5149236000000.0,28854423000000.0,23998090000000.0,0.0,-1.74,3.33,2.17,68.78,3703202000000.0,-866751000000.0,2836451000000.0,1.98,47.18,10.4,161.9,9.5,-5.2,2.0,0.0
ULTJ,Ultrajaya Milk Industry & Tr,Consumer Defensive,Beverages - Non-Alcoholic,2026-06-30,TTM-gabungan,IDR,2026-09-02,10398175200.0,172.9596,762.3023,130.0,10180057000000.0,1798464000000.0,2370183000000.0,2301950000000.0,33.37,20.9,17.67,23.01,20.31,40611000000.0,2435024000000.0,-2394413000000.0,9066914000000.0,7926553000000.0,0.01,-1.01,5.56,3.67,19508.05,2098609000000.0,-432212000000.0,1667443000000.0,1.17,75.14,18.7,51.7,4.6,12.1,2.0,0.0
SOHO,Soho Global Health Tbk.,Healthcare,Medical Distribution,2026-06-30,TTM,IDR,2026-09-02,12691682390.0,53.8056,193.4025,72.6,10972612000000.0,682883000000.0,929260000000.0,879101000000.0,18.36,7.78,6.22,26.47,12.34,4504000000.0,720577000000.0,-716073000000.0,5594308000000.0,2454603000000.0,0.0,-0.77,1.69,1.18,6922.06,939657000000.0,-38726000000.0,900931000000.0,1.38,135.7,9.2,16.5,13.9,18.9,3.0,0.0
CARE,Metro Healthcare Indonesia T,Healthcare,Medical Care Facilities,2026-06-30,TTM-gabungan,IDR,2026-09-02,33250000000.0,0.1804,90.958,,493131441794.0,5999726764.0,107994561623.0,107994561623.0,49.9,18.88,1.22,0.2,0.15,1061875186934.0,414279818127.0,647595368807.0,4156631939319.0,3024353450287.0,0.35,6.0,0.87,0.86,1.11,39754268693.0,-210756461260.0,-172791755485.0,6.63,0.0,18.4,107.5,19.1,,2.0,0.0
BNII,Bank Maybank Indonesia Tbk.,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,76215195821.0,23.3465,414.8697,7.61,9495293000000.0,1779361000000.0,,,,,18.74,5.69,0.88,20240958000000.0,23013530000000.0,4387843000000.0,213807986000000.0,31619377000000.0,0.64,,,,,2166409000000.0,-388888000000.0,1777521000000.0,1.22,32.6,3.4,5.9,1.8,4.1,2.0,0.0
PSAB,J Resources Asia Pasifik Tbk,Basic Materials,Gold,2026-03-31,TTM-gabungan,USD,2026-09-02,26460000000.0,195.1753,405.9389,105.0,5214706899840.0,5164337461920.0,7164334449600.0,6863118864480.0,64.37,32.81,99.03,64.0,31.43,1594675053120.0,7369949038080.0,3710084654880.0,17474083766880.0,10741142736480.0,0.15,0.52,2.92,2.6,26.73,2374550397120.0,-489430008960.0,1885120388160.0,0.46,0.0,15.2,5259.0,42.3,,3.0,0.0
POWR,Cikarang Listrindo Tbk.,Utilities,Utilities - Independent Power Producers,2026-06-30,TTM-gabungan,USD,2026-09-02,15851499100.0,77.9238,790.4784,73.73,9891263422080.0,1235208372960.0,3239807562720.0,2100652569120.0,44.3,20.49,12.49,9.72,4.82,6120678421440.0,2201384340960.0,3900452532000.0,21166137244320.0,12530267642880.0,0.49,1.2,7.11,6.02,5.91,2496836042400.0,-1112787343200.0,1384048699200.0,2.02,96.09,8.2,15.7,0.2,-0.2,1.0,0.14
MLBI,Multi Bintang Indonesia Tbk,Consumer Defensive,Beverages - Brewers,2026-06-30,TTM-gabungan,IDR,2026-09-02,2107000000.0,610.6844,524.3246,561.0,3790443000000.0,1286712000000.0,1688122000000.0,1674097000000.0,64.87,43.96,33.95,98.38,34.27,102549000000.0,1290928000000.0,-1188379000000.0,4014827000000.0,1104752000000.0,0.09,-0.7,0.86,0.76,209.47,1421945000000.0,-216849000000.0,1205096000000.0,1.11,91.82,43.5,54.1,4.4,8.6,3.0,0.0
SINI,Singaraja Putra Tbk.,Basic Materials,Lumber & Wood Production,2026-03-31,TTM,IDR,2026-09-02,713678861.0,-41.0803,-1066.0077,,709778208158.0,-29318133817.0,36251701617.0,35698192882.0,18.75,5.09,-4.13,3.93,-2.26,953567993741.0,74429360209.0,877071967730.0,1647768740947.0,-760787134214.0,-1.25,24.19,0.41,0.34,0.72,5695891929.0,-67619364467.0,-61923472538.0,-0.19,0.0,179.0,124.8,8.9,,0.0,0.0
JRPT,Jaya Real Property Tbk,Real Estate,Real Estate - Development,2026-06-30,TTM,IDR,2026-09-02,12829358600.0,107.9703,853.8246,31.0,3468654486000.0,1385190051000.0,1454752474000.0,1444631847000.0,55.41,41.44,39.93,13.2,9.1,3198553000.0,1769993551000.0,-1766794998000.0,15776746686000.0,10954021915000.0,0.0,-1.21,1.26,0.45,1270.36,1064711281000.0,-14921716000.0,1049789565000.0,0.77,28.76,12.2,12.0,13.2,14.8,3.0,-0.47
ARKO,Arkora Hydro Tbk.,Utilities,Utilities - Renewable,2026-06-30,TTM,IDR,2026-09-02,2928495000.0,21.7426,188.394,,333797154288.0,63673016245.0,149242325088.0,141496926114.0,25.77,3.1,19.08,12.26,3.93,1061418321764.0,67227112073.0,994191209691.0,1742160654641.0,551710966558.0,1.92,6.66,0.58,0.58,1.67,-99839664192.0,-14497379522.0,-114717573220.0,-1.57,0.0,-9.1,22.8,11.5,6.7,2.0,0.0
POLU,Golden Flower Tbk.,Consumer Cyclical,Apparel Manufacturing,2026-06-30,TTM-gabungan,IDR,2026-09-02,750000000.0,-17.2238,162.9384,,165834317422.0,-12917844747.0,-14988306836.0,-15123930149.0,7.22,-8.14,-7.79,-10.06,-5.69,47807338375.0,106746415244.0,-58939076869.0,261801097552.0,122203807529.0,0.39,,1.3,1.1,-5.01,31501051726.0,-3568887410.0,27934915877.0,-2.44,0.0,-8.9,-29.7,7.3,,1.0,0.0
BFIN,BFI Finance  Indonesia Tbk,Financial Services,Credit Services,2026-06-30,TTM-gabungan,IDR,2026-09-02,14749383620.0,111.7688,742.0625,70.0,6597843000000.0,1648521000000.0,2465587000000.0,2260256000000.0,66.92,34.74,24.99,15.26,6.5,12953463000000.0,1392586000000.0,11560877000000.0,25060166000000.0,10944964000000.0,1.18,4.69,2.97,2.97,11.0,2474911000000.0,-156185000000.0,2318726000000.0,1.5,64.81,3.8,17.0,8.0,-4.3,1.0,-1.93
INDY,Indika Energy Tbk,Energy,Thermal Coal,2026-06-30,TTM-gabungan,USD,2026-09-02,5202692000.0,47.7178,4097.1659,10.25,39445476816000.0,248261108160.0,3084178654080.0,2865641552160.0,14.35,7.03,0.63,1.16,0.46,22260563855520.0,10799562516000.0,11222688211200.0,57331176057600.0,21316292201280.0,1.04,3.64,2.07,1.98,2.61,1837174817280.0,-2572028081760.0,-734853264480.0,7.4,20.5,33.5,9.4,-22.3,-76.3,0.0,0.0
RLCO,Abadi Lestari Indonesia Tbk.,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,3125000000.0,13.8644,104.0048,,636225640892.0,43326339484.0,91824220926.0,90768735027.0,18.05,13.93,6.81,22.26,5.88,498747000000.0,65768096690.0,432978903310.0,835822289074.0,325014861619.0,1.53,4.72,1.49,0.87,2.48,-53626742851.0,-32858700000.0,-58371847593.0,-1.24,0.0,,,18.7,67.1,2.0,0.0
RISE,Jaya Sukses Makmur Sentosa T,Real Estate,Real Estate - Development,2026-06-30,TTM,IDR,2026-09-02,16198599990.0,10.9642,172.7228,,484289713667.0,177605060697.0,209901243128.0,199742117216.0,59.14,36.67,36.67,7.2,4.59,664047777881.0,258576605054.0,404648017717.0,4276489622196.0,2797867608691.0,0.24,1.93,2.31,0.75,10.05,9047577994.0,6780339162.0,15827917156.0,0.05,0.0,31.7,57.0,8.7,33.2,2.0,-0.0
BSDE,Bumi Serpong Damai Tbk,Real Estate,Real Estate - Development,2026-06-30,TTM-gabungan,IDR,2026-09-02,20913395112.0,89.7021,2143.0898,,11149348949010.0,1875975340821.0,3878533945128.0,3790657553523.0,64.83,28.4,16.83,4.34,2.38,18691113561104.0,8457918412228.0,10184084186108.0,81942880583837.0,44819283644651.0,0.42,2.63,3.56,1.45,2.37,-1307120350520.0,-219081733672.0,-1526202084192.0,-0.7,0.0,-11.8,6.7,7.7,1.5,1.0,0.0
STAA,Sumber Tani Agung Resources ,Consumer Defensive,Farm Products,2026-03-31,TTM-gabungan,IDR,2026-09-02,10901428700.0,146.3364,621.0905,75.0,10488483000000.0,1595276000000.0,2427928000000.0,2415918000000.0,31.74,22.16,15.21,26.07,17.56,1574773000000.0,2517534000000.0,564315000000.0,10091054000000.0,6770774000000.0,0.23,0.23,2.95,2.15,23.22,2007640000000.0,-477894000000.0,1529746000000.0,1.26,37.67,23.1,-34.9,16.9,13.0,2.0,-0.02
MCOL,Prima Andalan Mandiri Tbk.,Energy,Thermal Coal,2026-06-30,TTM-gabungan,USD,2026-09-02,3555560000.0,401.2274,2763.1063,280.0,13089981182400.0,1426587948480.0,2201798752800.0,2041164330240.0,22.03,14.61,10.9,14.46,10.69,1032183867360.0,2683050068640.0,-1650866201280.0,13203889240320.0,9824390220000.0,0.11,-0.75,2.59,2.46,23.44,2982623866080.0,-218511864960.0,2780641606080.0,2.09,70.87,47.2,152.1,-14.4,-42.6,0.0,0.0
PWON,Pakuwon Jati Tbk.,Real Estate,Real Estate - Diversified,2026-06-30,TTM-gabungan,IDR,2026-09-02,48159602400.0,46.0213,474.3374,13.0,7111498504000.0,2216369235000.0,3053476156000.0,2988105226000.0,56.05,41.73,31.17,10.1,6.01,5937497643000.0,4461085075000.0,1476412568000.0,37695717111000.0,22843899845000.0,0.26,0.48,3.02,1.7,9.66,3074783160000.0,-479866019000.0,2594917141000.0,1.39,28.25,11.1,104.3,5.9,15.1,2.0,0.0
CITA,Cita Mineral Investindo Tbk,Basic Materials,Other Industrial Metals & Mining,2026-06-30,TTM-gabungan,IDR,2026-09-02,3960361250.0,346.4824,2046.1324,351.0,3200635766925.0,1372195605140.0,2131088653842.0,2114434007934.0,36.26,20.62,42.87,16.34,15.59,0.0,795417176377.0,-795417176377.0,8544332333936.0,8103423347320.0,0.0,-0.37,5.54,3.17,,571323836866.0,-106608294973.0,464715541893.0,0.42,101.15,57.8,-67.3,-22.1,36.2,1.0,0.0
SCMA,Surya Citra Media Tbk,Communication Services,Broadcasting,2026-06-30,TTM-gabungan,IDR,2026-09-02,63504703280.0,15.5381,99.438,21.0,7111725920000.0,986745252000.0,1543642571000.0,1287598458000.0,40.71,17.03,13.87,14.14,9.13,760262857000.0,1104003864000.0,-343741007000.0,10415521811000.0,6314778627000.0,0.12,-0.22,2.45,1.97,87.2,1288050321000.0,-146795264000.0,1141255057000.0,1.31,135.05,-3.2,48.9,-1.2,-3.1,2.0,0.06
CMNT,Cemindo Gemilang Tbk.,Basic Materials,Building Materials,2026-06-30,TTM-gabungan,IDR,2026-09-02,17125504000.0,-13.8345,131.7917,,9495268000000.0,-236923000000.0,396311000000.0,331622000000.0,21.21,9.49,-2.5,-9.89,-1.41,9092816000000.0,509088000000.0,8351311000000.0,16609303000000.0,2256999000000.0,4.03,21.07,0.5,0.26,0.59,1232502000000.0,-405606000000.0,826896000000.0,-5.2,0.0,30.3,42.4,-2.5,,2.0,0.0
TSPC,Tempo Scan Pacific Tbk,Industrials,Conglomerates,2026-06-30,TTM-gabungan,IDR,2026-09-02,4509864300.0,328.0225,2159.209,150.0,14516249062463.0,1479336826164.0,2155918719007.0,1948955287334.0,38.15,12.27,10.19,15.7,10.79,1214533541243.0,5367042204715.0,-4152508663472.0,14198435026984.0,9737739799932.0,0.12,-1.93,2.91,2.2,30.93,523944046029.0,-538088902080.0,1246581937255.0,0.35,45.73,12.9,3.3,4.6,12.0,2.0,0.0
BKSL,Sentul City Tbk.,Real Estate,Real Estate - Development,2026-06-30,TTM-gabungan,IDR,2026-09-02,167708902705.0,5.3995,91.3989,,3018101611317.0,905550594420.0,1187310432861.0,1165438585602.0,55.82,37.73,30.0,6.09,4.21,2819981444518.0,234834974477.0,2584502030041.0,21820632062927.0,15328405464885.0,0.18,2.18,2.12,1.12,4.61,81314639254.0,-59440773517.0,21873865737.0,0.09,0.0,37.7,6450.7,60.0,,2.0,0.0
STTP,Siantar Top Tbk.,Consumer Defensive,Packaged Foods,2026-06-30,TTM-gabungan,IDR,2026-09-02,1310000000.0,944.5152,6026.1066,,5464203414185.0,1237314856067.0,1361803354680.0,1343638359346.0,31.13,21.26,22.64,17.29,15.53,0.0,4114792575851.0,-4114792575851.0,8757125693051.0,7894199621895.0,0.0,-3.02,9.59,8.78,,1350925472106.0,-54794573202.0,1296130898904.0,1.09,0.0,20.2,17.4,2.0,23.6,2.0,0.0
BSSR,Baramulti Suksessarana Tbk.,Energy,Thermal Coal,2026-03-31,TTM-gabungan,USD,2026-09-02,2616500000.0,610.5355,2028.1788,836.13,12757946278560.0,1597466196960.0,1979678979360.0,1977310274880.0,29.89,15.14,12.52,31.96,23.17,22880580960.0,1082615163360.0,-1059734582400.0,6987283393440.0,5306729700480.0,0.0,-0.54,2.78,2.34,1513.44,2704112380800.0,-366916378560.0,2337196002240.0,1.69,129.27,-26.9,25.5,-11.9,-29.5,0.0,0.0
ALII,Ancara Logistics Indonesia T,Industrials,Marine Shipping,2026-06-30,TTM-gabungan,IDR,2026-09-02,15825800000.0,27.262,135.4366,13.0,1005059700000.0,431442600000.0,600263038000.0,600263038000.0,44.94,36.1,42.93,21.43,14.73,310543148000.0,58599450000.0,220308550000.0,3163802320000.0,2143392470000.0,0.14,0.37,1.62,1.62,23.2,77086865000.0,-57768337000.0,19318528000.0,0.18,47.69,23.4,41.6,13.1,31.8,3.0,0.0
TCPI,Transcoal Pacific Tbk.,Industrials,Marine Shipping,2026-06-30,TTM-gabungan,IDR,2026-09-02,5000000000.0,27.8894,429.799,6.5,2034667000000.0,139447000000.0,264333000000.0,246852000000.0,24.27,14.2,6.85,6.63,3.54,1256327000000.0,88318000000.0,1151271000000.0,4186608000000.0,2148995000000.0,0.58,4.36,0.95,0.81,2.63,857311000000.0,-771082000000.0,86229000000.0,6.15,24.07,20.4,10.9,2.9,2.5,2.0,0.0
COIN,Indokripto Koin Semesta Tbk.,Financial Services,Financial Data & Stock Exchanges,2026-06-30,TTM,IDR,2026-09-02,14705882400.0,-1.0657,102.7622,,246243359720.0,-15671573481.0,78509154789.0,12583810944.0,66.35,-1.14,-6.36,-1.12,-1.03,5073538068.0,290821556746.0,-285748018678.0,1530727893240.0,1511208104843.0,0.0,-3.64,20.86,20.86,33.04,-34363392612.0,-8826515313.0,-43189907925.0,2.19,0.0,-47.0,-182.5,,,2.0,0.0
CTRA,Ciputra Development Tbk,Real Estate,Real Estate - Development,2026-06-30,TTM-gabungan,IDR,2026-09-02,18535695255.0,136.2146,1321.6936,36.0,11928887000000.0,2524833000000.0,3776443000000.0,3573259000000.0,47.76,29.54,21.17,10.74,5.42,7940360000000.0,8602401000000.0,-662041000000.0,46623520000000.0,24498510000000.0,0.32,-0.18,2.29,1.13,6.39,148466000000.0,-847085000000.0,-698619000000.0,0.06,26.47,-3.5,-12.4,11.4,12.7,2.0,0.0
GOOD,Garudafood Putra Putri Jaya ,Consumer Defensive,Packaged Foods,2026-06-30,TTM-gabungan,IDR,2026-09-02,36877600855.0,19.0181,105.9112,9.5,14343919795778.0,701342008855.0,1256745206596.0,1136890386360.0,27.23,7.37,4.89,18.32,7.82,2409738154351.0,912625466839.0,1420398424624.0,9383726690103.0,3905750606875.0,0.62,1.13,1.27,0.69,7.72,1093074730460.0,-714450367102.0,378624363358.0,1.56,49.97,19.6,-5.6,7.7,17.4,3.0,-0.0
YUPI,Yupi Indo Jelly Gum Tbk.,Consumer Defensive,Confectioners,2026-06-30,TTM-gabungan,IDR,2026-09-02,8544488700.0,72.7176,203.648,68.7,2968730975175.0,621334474492.0,860582995284.0,855102980758.0,38.92,27.49,20.93,26.13,18.73,772130862254.0,880531045455.0,-108400183201.0,3149880337977.0,1740068031795.0,0.44,-0.13,3.19,2.41,17.74,629476387394.0,-29933347802.0,599543039592.0,1.01,70.8,0.3,-13.1,0.7,14.9,2.0,0.0
WIFI,Solusi Sinergi Digital Tbk.,Communication Services,Telecom Services,2026-06-30,TTM,IDR,2026-09-02,5308549015.0,96.4107,1437.4773,2.0,2716828723769.0,511800853211.0,1433085681490.0,1415034969106.0,62.02,50.92,18.84,10.41,3.91,10057971475866.0,8285838461863.0,1609312908111.0,20949132568978.0,7630918521915.0,1.32,1.12,2.12,1.53,3.04,-2668441892192.0,-3355609925459.0,-6024051817651.0,-5.21,0.0,179.3,14.7,,,2.0,125.0
PRAY,Famon Awal Bros Sedaya Tbk.,Healthcare,Medical Care Facilities,2026-06-30,TTM-gabungan,IDR,2026-09-02,13959422300.0,13.2428,235.7896,,2769209000000.0,184862000000.0,348045000000.0,341397000000.0,26.65,15.45,6.68,6.13,3.28,1987507000000.0,522532000000.0,1272869000000.0,6313594000000.0,3291487000000.0,0.6,3.66,1.61,1.52,5.99,327980000000.0,-575993000000.0,-248013000000.0,1.77,0.0,35.9,-10.3,17.0,50.1,2.0,0.0
ADMF,Adira Dinamika Multi Finance,Financial Services,Credit Services,2026-06-30,TTM-gabungan,IDR,2026-09-02,1225986955.0,1598.6296,12619.6139,630.0,11022164000000.0,1959899000000.0,1690244000000.0,1389070000000.0,59.04,12.6,17.78,14.74,5.54,19570063000000.0,1391600000000.0,18081111000000.0,38617652000000.0,15471482000000.0,1.26,10.7,1.32,1.32,,1183902000000.0,-148926000000.0,1034976000000.0,0.6,42.0,10.6,65.8,14.8,-1.3,1.0,22.6
HEAL,Medikaloka Hermina Tbk.,Healthcare,Medical Care Facilities,2026-06-30,TTM-gabungan,IDR,2026-09-02,15245698700.0,26.0977,361.7184,13.5,7354386000000.0,397878000000.0,1235427000000.0,950725000000.0,33.88,12.42,5.41,7.88,3.49,3638122000000.0,571787000000.0,3050370000000.0,11992249000000.0,5514650000000.0,0.66,2.47,1.27,1.2,4.12,1208342000000.0,-1552094000000.0,-343752000000.0,3.04,52.1,7.9,-26.3,13.3,12.9,2.0,2.39
